               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.028506,            0.016189,           0.0022536,              0.7977,             0.79301,             0.80124,             0.51911,            0.030414,            0.012911,           0.0043658,            0.004951,            0.004951,            0.004951
                 104,            0.028266,            0.016764,           0.0021054,             0.80999,             0.78242,             0.80131,             0.51711,            0.030335,            0.012822,           0.0042319,           0.0049015,           0.0049015,           0.0049015
                 105,            0.028295,            0.016323,           0.0020775,             0.81131,             0.78351,             0.80494,             0.52078,            0.030208,             0.01278,           0.0041626,            0.004852,            0.004852,            0.004852
                 106,            0.028383,            0.016418,           0.0019933,             0.80102,             0.78735,             0.80464,             0.51925,            0.030187,            0.012775,           0.0043945,           0.0048025,           0.0048025,           0.0048025
                 107,            0.028224,            0.016206,           0.0020984,             0.80571,              0.7868,             0.80143,             0.51907,            0.030184,            0.012808,            0.004391,            0.004753,            0.004753,            0.004753
                 108,            0.028052,            0.016219,           0.0021847,             0.80031,             0.78488,             0.80077,             0.51828,            0.030206,            0.012791,           0.0045545,           0.0047035,           0.0047035,           0.0047035
                 109,            0.027992,            0.016409,           0.0020726,             0.79345,             0.79231,             0.80193,             0.51874,            0.030265,            0.012781,           0.0045342,            0.004654,            0.004654,            0.004654
                 110,            0.027849,             0.01631,           0.0021472,             0.81289,             0.77355,             0.80019,             0.51886,            0.030197,            0.012808,           0.0043946,           0.0046045,           0.0046045,           0.0046045
                 111,            0.027851,            0.016054,           0.0019197,             0.80495,             0.78665,             0.79866,             0.51973,            0.030265,            0.012904,             0.00438,            0.004555,            0.004555,            0.004555
                 112,            0.027768,            0.016389,           0.0019981,              0.8054,             0.78768,             0.80106,             0.52049,            0.030318,            0.012908,           0.0044806,           0.0045055,           0.0045055,           0.0045055
                 113,            0.027628,            0.016178,           0.0019076,              0.8077,             0.78455,             0.80082,             0.52099,              0.0304,            0.012876,           0.0045437,            0.004456,            0.004456,            0.004456
                 114,            0.027314,            0.015905,           0.0020037,              0.8098,             0.77882,             0.80154,             0.51988,            0.030383,            0.012896,           0.0045356,           0.0044065,           0.0044065,           0.0044065
                 115,            0.027554,            0.016132,           0.0018644,             0.81299,             0.78266,             0.80239,             0.52097,            0.030403,            0.012889,           0.0044478,            0.004357,            0.004357,            0.004357
                 116,            0.027298,             0.01598,           0.0018715,             0.81727,             0.78288,             0.80074,             0.52286,            0.030506,             0.01285,            0.004455,           0.0043075,           0.0043075,           0.0043075
                 117,            0.027139,            0.016057,           0.0016962,             0.81456,             0.78912,              0.8052,               0.524,            0.030447,            0.012882,           0.0043666,            0.004258,            0.004258,            0.004258
                 118,            0.027311,            0.015878,           0.0018068,             0.82509,             0.79123,             0.80969,             0.52696,             0.03035,            0.012901,           0.0043296,           0.0042085,           0.0042085,           0.0042085
                 119,            0.027205,            0.016072,           0.0017355,             0.82443,             0.79336,             0.80888,             0.52503,            0.030246,            0.012874,           0.0044716,            0.004159,            0.004159,            0.004159
                 120,            0.027179,            0.015456,           0.0017364,              0.8224,             0.79786,             0.80542,             0.52484,            0.030152,             0.01287,           0.0045612,           0.0041095,           0.0041095,           0.0041095
                 121,            0.027147,            0.015681,           0.0017386,             0.81186,             0.79391,             0.80636,             0.52322,            0.030142,            0.012868,           0.0046275,             0.00406,             0.00406,             0.00406
                 122,            0.026646,            0.015511,           0.0019356,             0.80712,             0.79781,             0.80598,             0.52537,            0.030053,            0.012886,           0.0046127,           0.0040105,           0.0040105,           0.0040105
                 123,            0.026697,            0.015575,           0.0016728,             0.80769,             0.79831,             0.80678,              0.5273,            0.030016,            0.012906,           0.0046081,            0.003961,            0.003961,            0.003961
                 124,            0.026952,            0.015843,           0.0017495,             0.81424,             0.78952,              0.8051,             0.53041,            0.029984,            0.012913,           0.0048016,           0.0039115,           0.0039115,           0.0039115
                 125,            0.026777,            0.015508,           0.0016667,             0.81763,             0.79025,              0.8067,             0.52958,            0.029964,            0.012912,            0.004795,            0.003862,            0.003862,            0.003862
                 126,            0.026667,            0.015487,           0.0016887,              0.8236,             0.78371,             0.80714,             0.52994,            0.029963,            0.012928,           0.0045788,           0.0038125,           0.0038125,           0.0038125
                 127,            0.026555,            0.015292,           0.0017057,             0.82538,             0.78662,             0.80921,             0.53242,            0.029922,            0.012924,           0.0046192,            0.003763,            0.003763,            0.003763
                 128,             0.02638,            0.015608,           0.0017952,             0.82635,             0.78871,             0.80984,             0.53124,            0.029914,            0.012924,           0.0046204,           0.0037135,           0.0037135,           0.0037135
