               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.033816,            0.023754,           0.0028655,              0.8139,             0.78751,             0.84212,              0.5547,            0.032754,            0.015338,            0.002631,            0.004126,            0.004126,            0.004126
                  91,            0.034047,            0.023776,           0.0027886,             0.76072,             0.83095,             0.84071,              0.5438,            0.032343,            0.015439,           0.0019564,             0.00406,             0.00406,             0.00406
                  92,            0.033579,            0.023688,           0.0026832,             0.79552,             0.82645,             0.83677,             0.53673,             0.03282,            0.015363,            0.002535,            0.003994,            0.003994,            0.003994
                  93,            0.033848,            0.023095,           0.0028668,             0.78904,             0.82538,              0.8389,             0.53678,            0.032821,            0.015299,           0.0025075,            0.003928,            0.003928,            0.003928
                  94,            0.033434,            0.023319,           0.0028187,              0.7856,             0.79477,              0.8384,             0.54332,            0.032672,            0.015497,           0.0020501,            0.003862,            0.003862,            0.003862
                  95,            0.033437,            0.023582,           0.0027942,             0.77153,             0.85274,             0.84907,             0.56411,            0.032207,            0.015218,           0.0021755,            0.003796,            0.003796,            0.003796
                  96,            0.033281,            0.023469,           0.0029455,             0.79151,             0.81379,             0.84613,             0.54781,            0.032493,            0.015405,            0.002262,             0.00373,             0.00373,             0.00373
                  97,            0.033084,            0.022839,           0.0024372,             0.79693,             0.82949,             0.84116,             0.54318,            0.032714,            0.015524,           0.0021437,            0.003664,            0.003664,            0.003664
                  98,            0.033141,              0.0232,           0.0027128,             0.79871,              0.8082,              0.8434,              0.5526,            0.032137,            0.015257,           0.0020785,            0.003598,            0.003598,            0.003598
                  99,            0.033141,            0.022287,           0.0026186,             0.80717,             0.81986,             0.84339,             0.55021,            0.032444,            0.015181,           0.0020255,            0.003532,            0.003532,            0.003532
                 100,            0.032747,            0.023507,           0.0026353,             0.80759,             0.80715,             0.84688,             0.55759,            0.032123,            0.015268,           0.0019689,            0.003466,            0.003466,            0.003466
                 101,            0.032593,            0.022672,           0.0026341,             0.79711,             0.80841,              0.8425,             0.54121,            0.032399,            0.015347,           0.0026045,              0.0034,              0.0034,              0.0034
                 102,            0.032727,            0.022665,           0.0025686,             0.79357,             0.83292,             0.84264,             0.54279,            0.032481,            0.015311,            0.001967,            0.003334,            0.003334,            0.003334
                 103,            0.032242,            0.022858,           0.0026225,             0.79513,             0.81014,             0.84425,              0.5476,            0.031789,            0.015119,           0.0018003,            0.003268,            0.003268,            0.003268
                 104,            0.032039,            0.022383,            0.002524,             0.78986,             0.83412,             0.84269,             0.55206,            0.032462,            0.015301,           0.0021361,            0.003202,            0.003202,            0.003202
                 105,            0.032266,            0.022426,           0.0024018,             0.78386,             0.85108,             0.84719,             0.54959,            0.032513,            0.015164,           0.0019574,            0.003136,            0.003136,            0.003136
                 106,            0.031832,            0.022285,           0.0020463,             0.77817,             0.84213,             0.85196,             0.55947,            0.031867,            0.015187,           0.0020241,             0.00307,             0.00307,             0.00307
                 107,            0.032025,            0.022328,           0.0022672,             0.81001,             0.85191,             0.86102,              0.5726,            0.031565,            0.014991,           0.0018498,            0.003004,            0.003004,            0.003004
                 108,            0.031896,             0.02214,           0.0022981,             0.80314,             0.84052,             0.85615,             0.56982,            0.031292,            0.015149,           0.0017308,            0.002938,            0.002938,            0.002938
                 109,            0.031619,            0.022077,           0.0023076,             0.81362,              0.8416,             0.85806,             0.56215,            0.031643,            0.015236,           0.0021192,            0.002872,            0.002872,            0.002872
                 110,            0.031389,            0.022339,           0.0022926,             0.80382,             0.84043,             0.85362,             0.56743,            0.031237,            0.015163,           0.0018776,            0.002806,            0.002806,            0.002806
                 111,            0.031565,            0.021708,           0.0023433,             0.80264,             0.84234,             0.85561,             0.56259,             0.03168,            0.015051,           0.0019291,             0.00274,             0.00274,             0.00274
                 112,            0.031645,            0.022557,           0.0021143,             0.79108,             0.85475,             0.84914,             0.55154,            0.031738,            0.015257,            0.001919,            0.002674,            0.002674,            0.002674
                 113,            0.031564,            0.022004,           0.0024513,             0.82463,             0.83287,             0.85632,             0.56403,            0.031805,            0.015104,           0.0018786,            0.002608,            0.002608,            0.002608
                 114,            0.031507,            0.022762,           0.0021934,             0.80713,             0.85172,             0.85207,             0.56357,            0.031552,            0.015058,           0.0017775,            0.002542,            0.002542,            0.002542
                 115,            0.031195,            0.022039,           0.0022211,             0.78909,             0.85264,              0.8532,             0.56978,            0.031633,            0.014993,           0.0019828,            0.002476,            0.002476,            0.002476
                 116,            0.030966,             0.02143,           0.0023164,             0.79164,             0.86043,             0.85675,             0.57241,            0.031613,            0.015029,           0.0018883,             0.00241,             0.00241,             0.00241
                 117,            0.031144,            0.021287,           0.0021801,             0.80489,             0.84279,             0.85143,             0.57053,            0.031821,            0.015148,           0.0019913,            0.002344,            0.002344,            0.002344
                 118,            0.030714,            0.021568,           0.0020655,             0.81776,             0.82502,             0.85567,              0.5633,            0.031585,            0.015021,           0.0019386,            0.002278,            0.002278,            0.002278
                 119,             0.03082,            0.021785,             0.00216,             0.80827,              0.8501,             0.86215,             0.56137,            0.031443,             0.01492,           0.0018084,            0.002212,            0.002212,            0.002212
                 120,            0.030712,            0.021068,           0.0019651,             0.79844,             0.84794,             0.85533,             0.56643,            0.031894,            0.015035,           0.0017293,            0.002146,            0.002146,            0.002146
                 121,            0.030698,            0.021408,           0.0019972,             0.82029,             0.83877,              0.8536,             0.57036,             0.03152,            0.014925,           0.0017958,             0.00208,             0.00208,             0.00208
                 122,            0.030582,            0.021638,           0.0018767,             0.80811,             0.84069,             0.85749,             0.57035,            0.031805,            0.014902,           0.0018827,            0.002014,            0.002014,            0.002014
                 123,             0.03029,            0.022193,           0.0019065,             0.78834,              0.8564,             0.85595,             0.56623,            0.031447,            0.014933,           0.0017628,            0.001948,            0.001948,            0.001948
                 124,            0.030438,            0.021759,           0.0020969,             0.78621,             0.86501,             0.85901,             0.57617,            0.031621,            0.014992,           0.0017135,            0.001882,            0.001882,            0.001882
                 125,            0.030212,            0.021053,           0.0017982,             0.80002,             0.84685,             0.85575,             0.56387,            0.031447,            0.015034,           0.0017225,            0.001816,            0.001816,            0.001816
                 126,            0.030108,            0.020817,           0.0018914,             0.81235,             0.84428,             0.85468,             0.56692,            0.031787,            0.015143,           0.0018348,             0.00175,             0.00175,             0.00175
                 127,            0.030153,            0.021086,           0.0019243,              0.8361,             0.82185,             0.86132,             0.57178,            0.031274,            0.014963,           0.0018139,            0.001684,            0.001684,            0.001684
                 128,            0.030247,            0.021387,           0.0018711,             0.79514,             0.87084,             0.86088,             0.57449,            0.031375,            0.014827,           0.0018023,            0.001618,            0.001618,            0.001618
                 129,             0.02953,            0.020723,           0.0017489,             0.80489,             0.85374,             0.86364,             0.57716,            0.031526,            0.015022,           0.0016971,            0.001552,            0.001552,            0.001552
                 130,            0.029997,            0.020954,           0.0020874,             0.79311,             0.86687,             0.85738,             0.58346,            0.031178,            0.015095,            0.001791,            0.001486,            0.001486,            0.001486
                 131,            0.029679,            0.021598,           0.0018463,             0.81839,             0.86051,             0.86472,             0.57909,            0.031238,            0.014892,           0.0017861,             0.00142,             0.00142,             0.00142
                 132,            0.029744,            0.021657,           0.0017621,             0.82302,              0.8659,             0.86721,             0.58391,            0.031246,            0.014847,           0.0016995,            0.001354,            0.001354,            0.001354
                 133,            0.029501,            0.021027,            0.001859,              0.8133,             0.87462,             0.86779,             0.58765,            0.031095,            0.014743,           0.0016963,            0.001288,            0.001288,            0.001288
                 134,            0.029523,            0.021163,           0.0017788,             0.81209,             0.86979,             0.86593,             0.58418,            0.031191,            0.014928,           0.0017374,            0.001222,            0.001222,            0.001222
                 135,            0.028933,            0.020615,           0.0015646,             0.81828,             0.87429,             0.86714,             0.58415,            0.031142,            0.015009,           0.0016754,            0.001156,            0.001156,            0.001156
                 136,            0.029209,            0.020851,           0.0015674,             0.82256,             0.85414,             0.86759,             0.58343,            0.031185,            0.014964,           0.0016108,             0.00109,             0.00109,             0.00109
                 137,            0.029264,            0.020275,           0.0015768,             0.81279,             0.85963,             0.86867,              0.5758,             0.03131,            0.014965,           0.0016484,            0.001024,            0.001024,            0.001024
                 138,             0.02907,            0.020851,           0.0017022,             0.79989,             0.88007,             0.86666,             0.58368,            0.031101,            0.014959,           0.0017161,            0.000958,            0.000958,            0.000958
                 139,            0.029041,            0.020542,           0.0017876,             0.81588,              0.8639,              0.8697,             0.58375,            0.031125,            0.014879,           0.0017099,            0.000892,            0.000892,            0.000892
                 140,            0.028675,            0.020748,           0.0014822,             0.81685,             0.86387,             0.86723,             0.57644,            0.031273,            0.015002,           0.0016342,            0.000826,            0.000826,            0.000826
                 141,            0.028535,            0.020806,           0.0019332,             0.82346,             0.84841,             0.86768,             0.58456,            0.031129,            0.014938,           0.0016393,             0.00076,             0.00076,             0.00076
                 142,            0.028589,            0.020558,           0.0015979,             0.81779,             0.86478,             0.87006,              0.5875,            0.030997,            0.014946,           0.0016305,            0.000694,            0.000694,            0.000694
                 143,            0.028884,            0.020351,           0.0016602,             0.82945,             0.86101,             0.87125,             0.59013,            0.031088,            0.014925,           0.0016746,            0.000628,            0.000628,            0.000628
                 144,            0.028563,             0.02053,           0.0017352,             0.83444,             0.84199,             0.86977,             0.58971,            0.030974,            0.014883,           0.0016364,            0.000562,            0.000562,            0.000562
                 145,            0.028494,            0.020129,           0.0016375,             0.81797,             0.86624,             0.86917,             0.58271,            0.031026,            0.014929,           0.0016814,            0.000496,            0.000496,            0.000496
                 146,            0.028826,            0.020472,           0.0015795,             0.82348,             0.86131,             0.87234,             0.58753,            0.031135,             0.01499,           0.0015937,             0.00043,             0.00043,             0.00043
                 147,             0.02829,            0.020162,           0.0014963,             0.82437,             0.86039,             0.87355,             0.59059,            0.030945,            0.014896,           0.0015742,            0.000364,            0.000364,            0.000364
                 148,            0.028278,            0.020294,           0.0014816,             0.80655,             0.86467,             0.87019,              0.5884,             0.03102,            0.014964,           0.0016081,            0.000298,            0.000298,            0.000298
                 149,            0.028055,            0.019618,           0.0016125,             0.80086,             0.87173,             0.86995,             0.58737,            0.030999,             0.01495,           0.0016634,            0.000232,            0.000232,            0.000232
